운행연월,노드,정류장명,시간대,이용자유형,승차,하차
202606,CNU,충남대학교,06,일반인,13,5
202606,CNU,충남대학교,07,일반인,58,10
202606,CNU,충남대학교,08,일반인,97,164
202606,CNU,충남대학교,09,일반인,65,86
202606,CNU,충남대학교,10,일반인,38,35
202606,CNU,충남대학교,11,일반인,38,28
202606,CNU,충남대학교,12,일반인,33,16
202606,CNU,충남대학교,13,일반인,64,94
202606,CNU,충남대학교,14,일반인,31,28
202606,CNU,충남대학교,15,일반인,48,20
202606,CNU,충남대학교,16,일반인,52,21
202606,CNU,충남대학교,17,일반인,108,22
202606,CNU,충남대학교,18,일반인,79,7
202606,CNU,충남대학교,19,일반인,64,16
202606,CNU,충남대학교,20,일반인,33,9
202606,CNU,충남대학교,21,일반인,49,6
202606,CNU,충남대학교,22,일반인,68,8
202606,CNU,충남대학교,15,어린이,0,4
202606,CNU,충남대학교,17,어린이,1,0
202606,CNU,충남대학교,18,어린이,3,0
202606,CNU,충남대학교,19,어린이,2,0
202606,CNU,충남대학교,06,청소년,1,0
202606,CNU,충남대학교,08,청소년,0,7
202606,CNU,충남대학교,11,청소년,1,2
202606,CNU,충남대학교,12,청소년,3,0
202606,CNU,충남대학교,13,청소년,3,3
202606,CNU,충남대학교,14,청소년,2,1
202606,CNU,충남대학교,15,청소년,2,1
202606,CNU,충남대학교,16,청소년,5,0
202606,CNU,충남대학교,17,청소년,6,0
202606,CNU,충남대학교,18,청소년,5,1
202606,CNU,충남대학교,19,청소년,4,1
202606,CNU,충남대학교,20,청소년,13,0
202606,CNU,충남대학교,21,청소년,14,0
202606,CNU,충남대학교,22,청소년,8,0
202606,CNU,충남대학교,06,경로,2,3
202606,CNU,충남대학교,07,경로,4,5
202606,CNU,충남대학교,08,경로,13,10
202606,CNU,충남대학교,09,경로,13,7
202606,CNU,충남대학교,10,경로,20,7
202606,CNU,충남대학교,11,경로,12,12
202606,CNU,충남대학교,12,경로,13,12
202606,CNU,충남대학교,13,경로,14,14
202606,CNU,충남대학교,14,경로,10,12
202606,CNU,충남대학교,15,경로,7,5
202606,CNU,충남대학교,16,경로,8,0
202606,CNU,충남대학교,17,경로,5,2
202606,CNU,충남대학교,18,경로,14,0
202606,CNU,충남대학교,19,경로,1,5
202606,CNU,충남대학교,20,경로,3,1
202606,CNU,충남대학교,21,경로,2,0
202606,CNU,충남대학교,22,경로,1,5
202606,CNU,충남대학교,08,국가유공자,0,1
202606,CNU,충남대학교,09,국가유공자,0,1
202606,CNU,충남대학교,12,국가유공자,1,0
202606,CNU,충남대학교,13,국가유공자,0,1
202606,CNU,충남대학교,14,국가유공자,0,1
202606,CNU,충남대학교,06,일반인,0,1
202606,CNU,충남대학교,07,일반인,3,13
202606,CNU,충남대학교,08,일반인,2,10
202606,CNU,충남대학교,09,일반인,4,34
202606,CNU,충남대학교,10,일반인,2,23
202606,CNU,충남대학교,11,일반인,7,13
202606,CNU,충남대학교,12,일반인,7,18
202606,CNU,충남대학교,13,일반인,7,19
202606,CNU,충남대학교,14,일반인,3,26
202606,CNU,충남대학교,15,일반인,3,25
202606,CNU,충남대학교,16,일반인,4,15
202606,CNU,충남대학교,17,일반인,6,20
202606,CNU,충남대학교,18,일반인,7,24
202606,CNU,충남대학교,19,일반인,9,24
202606,CNU,충남대학교,20,일반인,6,12
202606,CNU,충남대학교,21,일반인,8,19
202606,CNU,충남대학교,22,일반인,14,6
202606,CNU,충남대학교,23,일반인,1,4
202606,CNU,충남대학교,11,어린이,0,1
202606,CNU,충남대학교,13,어린이,0,1
202606,CNU,충남대학교,08,청소년,1,1
202606,CNU,충남대학교,09,청소년,2,1
202606,CNU,충남대학교,10,청소년,0,1
202606,CNU,충남대학교,11,청소년,0,1
202606,CNU,충남대학교,12,청소년,1,0
202606,CNU,충남대학교,13,청소년,0,5
202606,CNU,충남대학교,16,청소년,1,0
202606,CNU,충남대학교,17,청소년,0,2
202606,CNU,충남대학교,19,청소년,0,4
202606,CNU,충남대학교,20,청소년,0,1
202606,CNU,충남대학교,21,청소년,1,0
202606,CNU,충남대학교,22,청소년,0,1
202606,CNU,충남대학교,08,경로,0,1
202606,CNU,충남대학교,09,경로,0,4
202606,CNU,충남대학교,10,경로,0,1
202606,CNU,충남대학교,11,경로,0,1
202606,CNU,충남대학교,12,경로,0,7
202606,CNU,충남대학교,13,경로,2,2
202606,CNU,충남대학교,14,경로,0,1
202606,CNU,충남대학교,15,경로,2,3
202606,CNU,충남대학교,16,경로,0,2
202606,CNU,충남대학교,17,경로,2,1
202606,CNU,충남대학교,18,경로,1,0
202606,CNU,충남대학교,19,경로,0,1
202606,CNU,충남대학교,20,경로,1,0
202606,CNU,충남대학교,06,일반인,34,66
202606,CNU,충남대학교,07,일반인,51,149
202606,CNU,충남대학교,08,일반인,20,333
202606,CNU,충남대학교,09,일반인,30,385
202606,CNU,충남대학교,10,일반인,26,221
202606,CNU,충남대학교,11,일반인,26,155
202606,CNU,충남대학교,12,일반인,47,178
202606,CNU,충남대학교,13,일반인,76,324
202606,CNU,충남대학교,14,일반인,50,128
202606,CNU,충남대학교,15,일반인,57,130
202606,CNU,충남대학교,16,일반인,103,227
202606,CNU,충남대학교,17,일반인,116,264
202606,CNU,충남대학교,18,일반인,138,397
202606,CNU,충남대학교,19,일반인,61,186
202606,CNU,충남대학교,20,일반인,75,165
202606,CNU,충남대학교,21,일반인,80,147
202606,CNU,충남대학교,22,일반인,75,85
202606,CNU,충남대학교,23,일반인,28,11
202606,CNU,충남대학교,06,어린이,0,1
202606,CNU,충남대학교,08,어린이,0,2
202606,CNU,충남대학교,09,어린이,0,1
202606,CNU,충남대학교,10,어린이,0,2
202606,CNU,충남대학교,13,어린이,0,5
202606,CNU,충남대학교,15,어린이,0,2
202606,CNU,충남대학교,16,어린이,0,1
202606,CNU,충남대학교,17,어린이,0,3
202606,CNU,충남대학교,06,청소년,1,2
202606,CNU,충남대학교,07,청소년,66,18
202606,CNU,충남대학교,08,청소년,15,18
202606,CNU,충남대학교,09,청소년,1,7
202606,CNU,충남대학교,10,청소년,1,18
202606,CNU,충남대학교,11,청소년,0,20
202606,CNU,충남대학교,12,청소년,3,11
202606,CNU,충남대학교,13,청소년,7,25
202606,CNU,충남대학교,14,청소년,2,10
202606,CNU,충남대학교,15,청소년,10,13
202606,CNU,충남대학교,16,청소년,19,64
202606,CNU,충남대학교,17,청소년,7,17
202606,CNU,충남대학교,18,청소년,8,19
202606,CNU,충남대학교,19,청소년,3,7
202606,CNU,충남대학교,20,청소년,6,10
202606,CNU,충남대학교,21,청소년,9,3
202606,CNU,충남대학교,22,청소년,13,3
202606,CNU,충남대학교,23,청소년,4,0
202606,CNU,충남대학교,06,경로,2,10
202606,CNU,충남대학교,07,경로,0,26
202606,CNU,충남대학교,08,경로,2,20
202606,CNU,충남대학교,09,경로,10,41
202606,CNU,충남대학교,10,경로,14,48
202606,CNU,충남대학교,11,경로,18,16
202606,CNU,충남대학교,12,경로,13,14
202606,CNU,충남대학교,13,경로,18,25
202606,CNU,충남대학교,14,경로,3,54
202606,CNU,충남대학교,15,경로,25,29
202606,CNU,충남대학교,16,경로,22,28
202606,CNU,충남대학교,17,경로,13,21
202606,CNU,충남대학교,18,경로,4,5
202606,CNU,충남대학교,19,경로,8,3
202606,CNU,충남대학교,20,경로,5,9
202606,CNU,충남대학교,21,경로,3,5
202606,CNU,충남대학교,13,장애인,0,1
202606,CNU,충남대학교,14,장애인,0,1
202606,CNU,충남대학교,17,장애인,0,1
202606,CNU,충남대학교,09,국가유공자,0,1
202606,CNU,충남대학교,16,국가유공자,0,1
202606,CNU,충남대학교,17,국가유공자,0,1
202606,CNU,충남대학교,06,일반인,34,2
202606,CNU,충남대학교,07,일반인,113,33
202606,CNU,충남대학교,08,일반인,214,19
202606,CNU,충남대학교,09,일반인,118,56
202606,CNU,충남대학교,10,일반인,138,26
202606,CNU,충남대학교,11,일반인,97,26
202606,CNU,충남대학교,12,일반인,120,36
202606,CNU,충남대학교,13,일반인,103,49
202606,CNU,충남대학교,14,일반인,58,16
202606,CNU,충남대학교,15,일반인,129,33
202606,CNU,충남대학교,16,일반인,92,26
202606,CNU,충남대학교,17,일반인,165,26
202606,CNU,충남대학교,18,일반인,174,23
202606,CNU,충남대학교,19,일반인,69,9
202606,CNU,충남대학교,20,일반인,125,15
202606,CNU,충남대학교,21,일반인,79,5
202606,CNU,충남대학교,22,일반인,105,11
202606,CNU,충남대학교,10,어린이,1,0
202606,CNU,충남대학교,13,어린이,2,0
202606,CNU,충남대학교,07,청소년,1,0
202606,CNU,충남대학교,10,청소년,3,4
202606,CNU,충남대학교,11,청소년,3,0
202606,CNU,충남대학교,12,청소년,6,1
202606,CNU,충남대학교,13,청소년,7,2
202606,CNU,충남대학교,14,청소년,1,3
202606,CNU,충남대학교,15,청소년,11,5
202606,CNU,충남대학교,16,청소년,5,8
202606,CNU,충남대학교,17,청소년,8,5
202606,CNU,충남대학교,18,청소년,10,2
202606,CNU,충남대학교,19,청소년,6,4
202606,CNU,충남대학교,20,청소년,4,1
202606,CNU,충남대학교,21,청소년,5,10
202606,CNU,충남대학교,22,청소년,5,0
202606,CNU,충남대학교,06,경로,0,2
202606,CNU,충남대학교,08,경로,2,0
202606,CNU,충남대학교,09,경로,1,1
202606,CNU,충남대학교,10,경로,6,2
202606,CNU,충남대학교,11,경로,3,1
202606,CNU,충남대학교,12,경로,10,1
202606,CNU,충남대학교,13,경로,12,3
202606,CNU,충남대학교,14,경로,4,4
202606,CNU,충남대학교,15,경로,5,2
202606,CNU,충남대학교,16,경로,1,3
202606,CNU,충남대학교,17,경로,5,4
