운행연월,노드,정류장명,시간대,이용자유형,승차,하차
202506,CNU,충남대학교,06,일반인,30,1
202506,CNU,충남대학교,07,일반인,57,18
202506,CNU,충남대학교,08,일반인,67,80
202506,CNU,충남대학교,09,일반인,78,158
202506,CNU,충남대학교,10,일반인,28,45
202506,CNU,충남대학교,11,일반인,32,26
202506,CNU,충남대학교,12,일반인,34,16
202506,CNU,충남대학교,13,일반인,40,35
202506,CNU,충남대학교,14,일반인,33,24
202506,CNU,충남대학교,15,일반인,55,39
202506,CNU,충남대학교,16,일반인,59,43
202506,CNU,충남대학교,17,일반인,85,24
202506,CNU,충남대학교,18,일반인,69,14
202506,CNU,충남대학교,19,일반인,47,13
202506,CNU,충남대학교,20,일반인,40,7
202506,CNU,충남대학교,21,일반인,22,9
202506,CNU,충남대학교,22,일반인,50,2
202506,CNU,충남대학교,17,어린이,12,0
202506,CNU,충남대학교,08,청소년,3,3
202506,CNU,충남대학교,09,청소년,2,3
202506,CNU,충남대학교,10,청소년,6,3
202506,CNU,충남대학교,11,청소년,3,0
202506,CNU,충남대학교,12,청소년,2,4
202506,CNU,충남대학교,13,청소년,2,0
202506,CNU,충남대학교,14,청소년,4,5
202506,CNU,충남대학교,15,청소년,6,3
202506,CNU,충남대학교,16,청소년,2,2
202506,CNU,충남대학교,17,청소년,3,0
202506,CNU,충남대학교,18,청소년,3,0
202506,CNU,충남대학교,19,청소년,5,0
202506,CNU,충남대학교,21,청소년,4,0
202506,CNU,충남대학교,22,청소년,3,0
202506,CNU,충남대학교,06,경로,1,0
202506,CNU,충남대학교,07,경로,2,2
202506,CNU,충남대학교,08,경로,18,4
202506,CNU,충남대학교,09,경로,4,8
202506,CNU,충남대학교,10,경로,11,7
202506,CNU,충남대학교,11,경로,15,10
202506,CNU,충남대학교,12,경로,11,10
202506,CNU,충남대학교,13,경로,9,10
202506,CNU,충남대학교,14,경로,8,7
202506,CNU,충남대학교,15,경로,7,10
202506,CNU,충남대학교,16,경로,2,3
202506,CNU,충남대학교,17,경로,6,4
202506,CNU,충남대학교,18,경로,20,2
202506,CNU,충남대학교,19,경로,3,0
202506,CNU,충남대학교,21,경로,1,0
202506,CNU,충남대학교,22,경로,1,0
202506,CNU,충남대학교,07,일반인,0,3
202506,CNU,충남대학교,08,일반인,5,20
202506,CNU,충남대학교,09,일반인,2,12
202506,CNU,충남대학교,10,일반인,1,23
202506,CNU,충남대학교,11,일반인,4,21
202506,CNU,충남대학교,12,일반인,4,21
