운행연월,노드,정류장명,시간대,이용자유형,승차,하차
202605,CNU,충남대학교,06,일반인,15,7
202605,CNU,충남대학교,07,일반인,43,13
202605,CNU,충남대학교,08,일반인,88,181
202605,CNU,충남대학교,09,일반인,69,61
202605,CNU,충남대학교,10,일반인,45,37
202605,CNU,충남대학교,11,일반인,61,16
202605,CNU,충남대학교,12,일반인,37,11
202605,CNU,충남대학교,13,일반인,46,65
202605,CNU,충남대학교,14,일반인,47,33
202605,CNU,충남대학교,15,일반인,51,21
202605,CNU,충남대학교,16,일반인,65,28
202605,CNU,충남대학교,17,일반인,78,19
202605,CNU,충남대학교,18,일반인,101,12
202605,CNU,충남대학교,19,일반인,84,21
202605,CNU,충남대학교,20,일반인,37,8
202605,CNU,충남대학교,21,일반인,44,8
202605,CNU,충남대학교,22,일반인,79,9
202605,CNU,충남대학교,15,어린이,0,7
202605,CNU,충남대학교,18,어린이,1,0
202605,CNU,충남대학교,19,어린이,0,1
202605,CNU,충남대학교,21,어린이,1,0
202605,CNU,충남대학교,06,청소년,0,1
202605,CNU,충남대학교,07,청소년,0,1
202605,CNU,충남대학교,08,청소년,0,5
202605,CNU,충남대학교,09,청소년,1,0
202605,CNU,충남대학교,11,청소년,1,0
202605,CNU,충남대학교,12,청소년,4,7
202605,CNU,충남대학교,13,청소년,5,0
202605,CNU,충남대학교,14,청소년,1,1
202605,CNU,충남대학교,15,청소년,3,1
202605,CNU,충남대학교,16,청소년,6,1
202605,CNU,충남대학교,17,청소년,9,1
202605,CNU,충남대학교,18,청소년,8,1
202605,CNU,충남대학교,19,청소년,5,2
202605,CNU,충남대학교,20,청소년,13,0
202605,CNU,충남대학교,21,청소년,7,0
202605,CNU,충남대학교,22,청소년,1,0
202605,CNU,충남대학교,06,경로,1,6
202605,CNU,충남대학교,07,경로,1,1
202605,CNU,충남대학교,08,경로,16,2
202605,CNU,충남대학교,09,경로,14,8
202605,CNU,충남대학교,10,경로,16,4
202605,CNU,충남대학교,11,경로,14,10
202605,CNU,충남대학교,12,경로,15,0
202605,CNU,충남대학교,13,경로,14,8
202605,CNU,충남대학교,14,경로,18,10
202605,CNU,충남대학교,15,경로,13,5
202605,CNU,충남대학교,16,경로,8,3
202605,CNU,충남대학교,17,경로,6,9
202605,CNU,충남대학교,18,경로,18,0
202605,CNU,충남대학교,19,경로,6,3
202605,CNU,충남대학교,20,경로,1,1
202605,CNU,충남대학교,22,경로,1,4
202605,CNU,충남대학교,13,장애인,1,0
202605,CNU,충남대학교,08,국가유공자,0,1
202605,CNU,충남대학교,07,일반인,2,16
202605,CNU,충남대학교,08,일반인,6,18
202605,CNU,충남대학교,09,일반인,5,16
202605,CNU,충남대학교,10,일반인,7,17
202605,CNU,충남대학교,11,일반인,8,9
202605,CNU,충남대학교,12,일반인,4,13
202605,CNU,충남대학교,13,일반인,17,22
202605,CNU,충남대학교,14,일반인,2,31
202605,CNU,충남대학교,15,일반인,3,14
202605,CNU,충남대학교,16,일반인,19,20
202605,CNU,충남대학교,17,일반인,3,26
202605,CNU,충남대학교,18,일반인,8,33
202605,CNU,충남대학교,19,일반인,9,24
202605,CNU,충남대학교,20,일반인,8,13
202605,CNU,충남대학교,21,일반인,5,25
202605,CNU,충남대학교,22,일반인,12,13
202605,CNU,충남대학교,23,일반인,1,3
202605,CNU,충남대학교,06,청소년,0,2
202605,CNU,충남대학교,08,청소년,0,1
202605,CNU,충남대학교,09,청소년,0,1
202605,CNU,충남대학교,11,청소년,1,3
202605,CNU,충남대학교,13,청소년,0,1
202605,CNU,충남대학교,14,청소년,0,3
202605,CNU,충남대학교,15,청소년,1,1
202605,CNU,충남대학교,16,청소년,0,1
202605,CNU,충남대학교,17,청소년,0,2
202605,CNU,충남대학교,18,청소년,0,3
202605,CNU,충남대학교,19,청소년,1,0
202605,CNU,충남대학교,20,청소년,0,1
202605,CNU,충남대학교,23,청소년,1,1
202605,CNU,충남대학교,07,경로,0,1
202605,CNU,충남대학교,09,경로,1,1
202605,CNU,충남대학교,10,경로,0,4
202605,CNU,충남대학교,11,경로,2,2
202605,CNU,충남대학교,12,경로,1,6
202605,CNU,충남대학교,13,경로,2,7
202605,CNU,충남대학교,14,경로,0,3
202605,CNU,충남대학교,15,경로,0,1
202605,CNU,충남대학교,16,경로,0,1
202605,CNU,충남대학교,18,경로,2,1
202605,CNU,충남대학교,19,경로,2,1
202605,CNU,충남대학교,21,경로,1,0
202605,CNU,충남대학교,06,일반인,29,59
202605,CNU,충남대학교,07,일반인,40,126
202605,CNU,충남대학교,08,일반인,24,320
202605,CNU,충남대학교,09,일반인,25,410
202605,CNU,충남대학교,10,일반인,37,238
202605,CNU,충남대학교,11,일반인,34,184
202605,CNU,충남대학교,12,일반인,56,171
202605,CNU,충남대학교,13,일반인,83,308
202605,CNU,충남대학교,14,일반인,64,129
202605,CNU,충남대학교,15,일반인,64,159
202605,CNU,충남대학교,16,일반인,147,224
202605,CNU,충남대학교,17,일반인,103,277
202605,CNU,충남대학교,18,일반인,149,298
202605,CNU,충남대학교,19,일반인,67,222
202605,CNU,충남대학교,20,일반인,73,191
202605,CNU,충남대학교,21,일반인,87,234
202605,CNU,충남대학교,22,일반인,78,93
202605,CNU,충남대학교,23,일반인,33,17
202605,CNU,충남대학교,06,어린이,0,2
202605,CNU,충남대학교,09,어린이,1,0
202605,CNU,충남대학교,10,어린이,0,1
202605,CNU,충남대학교,13,어린이,0,9
202605,CNU,충남대학교,16,어린이,1,3
202605,CNU,충남대학교,17,어린이,0,1
202605,CNU,충남대학교,18,어린이,3,2
202605,CNU,충남대학교,21,어린이,0,1
202605,CNU,충남대학교,22,어린이,0,1
202605,CNU,충남대학교,06,청소년,2,0
202605,CNU,충남대학교,07,청소년,43,21
202605,CNU,충남대학교,08,청소년,10,25
202605,CNU,충남대학교,09,청소년,2,25
202605,CNU,충남대학교,10,청소년,3,20
202605,CNU,충남대학교,11,청소년,4,23
202605,CNU,충남대학교,12,청소년,1,11
202605,CNU,충남대학교,13,청소년,9,31
202605,CNU,충남대학교,14,청소년,10,21
202605,CNU,충남대학교,15,청소년,7,25
202605,CNU,충남대학교,16,청소년,21,55
202605,CNU,충남대학교,17,청소년,8,28
202605,CNU,충남대학교,18,청소년,8,14
202605,CNU,충남대학교,19,청소년,11,12
202605,CNU,충남대학교,20,청소년,2,4
202605,CNU,충남대학교,21,청소년,7,18
202605,CNU,충남대학교,22,청소년,9,14
202605,CNU,충남대학교,23,청소년,8,1
202605,CNU,충남대학교,06,경로,0,11
202605,CNU,충남대학교,07,경로,0,22
202605,CNU,충남대학교,08,경로,4,22
202605,CNU,충남대학교,09,경로,14,43
202605,CNU,충남대학교,10,경로,10,48
