sttn_id,sttn_nm
8002014,성북3통마을회관
8002015,성북3통마을회관
8002017,성북동산림욕장
8002020,세동2통
8002021,세동2통
8002022,세동종점
8002025,세종아파트
8002026,세종아파트
8002047,원촌동솔로몬로파크
8002048,송강전통시장
8002049,송강전통시장
8002050,송강초등학교
8002052,송림마을2단지
8002053,송림마을3단지
8002054,송림마을4단지
8002056,송림마을1단지
8002058,송정1통
8002059,송정2통
8002060,송정2통
8002062,송정소징이
8002070,수운교입구
8002071,LH연구원
8002072,LH연구원
8002073,k-water인재개발원
8002074,LH연구원
8002077,수통골기점지
8002083,시민천문대
8002084,시민천문대
8002103,자운초등학교
8002104,온마음병원
8002105,온마음병원
8002109,하나아파트
8002110,신성동주민센터
8002111,신성동주민센터
8002141,하우스토리/신협연수원
8002142,운암네오미아/신협연수원
8002169,안산산성
8002170,안산동
8002176,알로에농장
8002177,알로에농장
8002182,양새터골
8002184,어울림하트12단지
8002187,반석마을입구
8002189,반석마을입구
8002202,신세계백화점
8002203,국립중앙과학관입구
8002204,대전컨벤션센터
8002206,신세계백화점
8002207,문지초등학교입구
8002208,엑스포아파트
8002210,열매마을5.6단지
8002211,열매마을5.6단지
8002212,방동3통
8002260,외삼1통
8002264,외삼삼거리
8002269,용계동
8002271,용계동접수마을
8002275,용머리
8002348,우주통신연구소
8002351,원내네거리
8002352,원내네거리
8002355,원내동공영차고지
8002363,원신흥동
8002364,원신흥동
8002373,원촌삼거리
8002374,원촌삼거리
8002375,월드컵경기장역
8002376,월드컵경기장역
8002392,유성고등학교
8002393,유성고등학교
8002394,유성고속터미널
8002395,유성고속터미널
8002397,유성구노인복지관
8002398,유성구청
8002399,유성구청
8002401,유성자이아파트
8002402,봉명네거리
8002403,봉명네거리
8002404,유성시장
8002405,유성시장
8002406,유성경찰서
8002407,유성경찰서
8002408,유성온천역3번출구
8002409,유성온천역4번출구
8002410,유성온천역5번출구
8002411,유성온천역6번출구
8002412,유성온천역7번출구
8002415,유성장애인복지관
8002418,유성생명과학고
8002419,유성생명과학고
8002420,유성컨트리클럽
8002421,유성컨트리클럽
8002435,국군대전병원
8002436,국방지형정보단
8002489,합동군사대학교
8002490,자운대네거리
8002491,자운대네거리
8002492,유성초네거리
8002493,유성초네거리
8002494,장대중학교
8002495,장대초등학교
8002529,국립문화유산연구원
8002530,전력연구원
8002531,엑스포아파트
8002532,전민중학교
8002533,태광산업중앙연구소
8002535,전민동주민센터
8002536,전민동주민센터
8002537,전민중학교
8002539,전자디자인고
8002540,전자디자인고
8002574,제이파크아파트
8002575,제이파크아파트
8002589,주유소
8002596,죽동네거리
8002597,죽동네거리
8002623,중세동
8002624,중세동
8002626,중소벤처기업청
8002639,중일고등학교
8002640,중일고등학교
8002659,지족동
8002660,지족역
8002662,지족역
8002663,지족초등학교
8002664,지족초등학교
8002669,밀머리네거리
8002670,밀머리네거리
8002673,진잠향교
8002674,진잠향교
8002675,원내동
8002676,원내동
8002677,진잠중학교
8002678,진잠중학교
8002679,진잠초등학교
8002681,진잠타운아파트
8002693,천양원
8002694,천양원
8002720,충남대학교
8002721,충남대학교
8002722,충남대학교
8002725,충남대학교입구
8002735,충대농대입구
8002736,충대농대종점
8002737,충대농대종점
8002738,충대수의대
8002739,북대전세무서/보훈요양원
8002740,북대전세무서/보훈요양원
8002741,충대서문
8002742,충대서문
8002745,충렬사삼거리
8002746,충열사
8002765,탑립동
8002766,탑립1통
8002767,탑립1통
8002768,탑립1통산의절
8002769,탑립1통산의절
8002775,탑립육교
8002804,테크노밸리12단지
8002805,테크노밸리12단지
8002811,국군대전병원
8002849,하기중학교
8002863,학하동
8002864,학하동
8002867,학하초등학교
8002868,학하초등학교
8002872,카이스트
8002873,카이스트
8002874,한국기계연구원
8002875,한국기계연구원
8002879,한국생명공학연구원
8002882,한국전자통신연구원
8002883,과학기술연합대학원(UST)
